Numero do Pacote,Conteudo,Erro Instantaneo
1,,0.0
2,X,50.0
3,X,66.67
4,X,75.0
5,X,80.0
6,0,66.67
7,X,71.43
8,0,62.5
9,X,66.67
10,0,60.0
11,X,63.64
12,0,58.33
13,X,61.54
14,0,57.14
15,X,60.0
16,0,56.25
17,X,58.82
18,0,55.56
19,X,57.89
20,0,55.0
