Numero do Pacote,Conteudo,Erro Instantaneo
1,0,0.0
2,0,0.0
3,0,0.0
4,0,0.0
5,0,0.0
6,0,0.0
7,0,0.0
8,X,12.5
9,0,11.11
10,0,10.0
11,0,9.09
12,0,8.33
13,X,15.38
14,0,14.29
15,0,13.33
16,0,12.5
17,0,11.76
18,0,11.11
19,0,10.53
20,0,10.0
