Numero do Pacote,Conteudo,Erro Instantaneo
1,0,0.0
2,X,50.0
3,0,33.33
4,0,25.0
5,,20.0
6,X,33.33
7,0,28.57
8,X,37.5
9,X,44.44
10,0,40.0
11,0,36.36
12,X,41.67
13,0,38.46
14,X,42.86
15,X,46.67
16,0,43.75
17,0,41.18
18,0,38.89
19,0,36.84
20,0,35.0
