Numero do Pacote,Conteudo,Erro Instantaneo
1,0,0.0
2,0,0.0
3,,0.0
4,X,25.0
5,0,20.0
6,0,16.67
7,0,14.29
8,0,12.5
9,0,11.11
10,0,10.0
11,0,9.09
12,0,8.33
13,0,7.69
14,X,14.29
15,0,13.33
16,X,18.75
17,X,23.53
18,0,22.22
19,0,21.05
20,0,20.0
