Numero do Pacote,Conteudo,Erro Instantaneo
1,,0.0
2,X,50.0
3,X,66.67
4,0,50.0
5,0,40.0
6,0,33.33
7,0,28.57
8,0,25.0
9,0,22.22
10,0,20.0
11,0,18.18
12,0,16.67
13,0,15.38
14,0,14.29
15,0,13.33
16,0,12.5
17,X,17.65
18,0,16.67
19,X,21.05
20,0,20.0
