Numero do Pacote,Conteudo,Erro Instantaneo
1,X,100.0
2,X,100.0
3,0,66.67
4,0,50.0
5,X,60.0
6,0,50.0
7,0,42.86
8,X,50.0
9,0,44.44
10,X,50.0
11,0,45.45
12,0,41.67
13,0,38.46
14,X,42.86
15,0,40.0
16,X,43.75
17,0,41.18
18,0,38.89
19,X,42.11
20,0,40.0
