Numero do Pacote,Conteudo,Erro Instantaneo
1,,0.0
2,,0.0
3,,0.0
4,,0.0
5,,0.0
6,0,0.0
7,X,14.29
8,0,12.5
9,X,22.22
10,X,30.0
11,0,27.27
12,X,33.33
13,X,38.46
14,0,35.71
15,X,40.0
16,X,43.75
17,0,41.18
18,0,38.89
19,X,42.11
20,0,40.0
