Numero do Pacote,Conteudo,Erro Instantaneo
1,0,0.0
2,0,0.0
3,0,0.0
4,0,0.0
5,0,0.0
6,0,0.0
7,0,0.0
8,0,0.0
9,0,0.0
10,0,0.0
11,0,0.0
12,0,0.0
13,X,7.69
14,0,7.14
15,0,6.67
16,0,6.25
17,0,5.88
18,0,5.56
19,0,5.26
20,0,5.0
