Numero do Pacote,Conteudo,Erro Instantaneo
1,0,0.0
2,0,0.0
3,0,0.0
4,0,0.0
5,,0.0
6,X,16.67
7,0,14.29
8,0,12.5
9,0,11.11
10,0,10.0
11,0,9.09
12,X,16.67
13,0,15.38
14,0,14.29
15,0,13.33
16,0,12.5
17,X,17.65
18,0,16.67
19,0,15.79
20,0,15.0
