Numero do Pacote,Conteudo,Erro Instantaneo
1,0,0.0
2,0,0.0
3,0,0.0
4,0,0.0
5,0,0.0
6,0,0.0
7,0,0.0
8,0,0.0
9,0,0.0
10,0,0.0
11,0,0.0
12,0,0.0
13,0,0.0
14,X,7.14
15,0,6.67
16,X,12.5
17,X,17.65
18,0,16.67
19,0,15.79
20,0,15.0
