Numero do Pacote,Conteudo,Erro Instantaneo
1,0,0.0
2,0,0.0
3,0,0.0
4,0,0.0
5,0,0.0
6,0,0.0
7,X,14.29
8,0,12.5
9,X,22.22
10,X,30.0
11,0,27.27
12,X,33.33
13,X,38.46
14,X,42.86
15,0,40.0
16,X,43.75
17,X,47.06
18,X,50.0
19,X,52.63
20,0,50.0
