Numero do Pacote,Conteudo,Erro Instantaneo
1,0,0.0
2,0,0.0
3,0,0.0
4,0,0.0
5,0,0.0
6,0,0.0
7,0,0.0
8,0,0.0
9,X,11.11
10,X,20.0
11,0,18.18
12,0,16.67
13,X,23.08
14,0,21.43
15,0,20.0
16,0,18.75
17,X,23.53
18,0,22.22
19,0,21.05
20,0,20.0
