Numero do Pacote,Conteudo,Erro Instantaneo
1,X,100.0
2,0,50.0
3,0,33.33
4,,25.0
5,X,40.0
6,X,50.0
7,X,57.14
8,0,50.0
9,X,55.56
10,0,50.0
11,0,45.45
12,0,41.67
13,X,46.15
14,0,42.86
15,X,46.67
16,0,43.75
17,0,41.18
18,0,38.89
19,0,36.84
20,0,35.0
