Numero do Pacote,Conteudo,Erro Instantaneo
1,0,0.0
2,X,50.0
3,X,66.67
4,0,50.0
5,0,40.0
6,X,50.0
7,X,57.14
8,0,50.0
9,0,44.44
10,0,40.0
11,0,36.36
12,0,33.33
13,0,30.77
14,0,28.57
15,0,26.67
16,0,25.0
17,0,23.53
18,X,27.78
19,0,26.32
20,0,25.0
